Ponto	Drenagem	Ab_BL	Ab_Body_elong	Ab_Eye_ver	Ab_Rel_eye	Ab_O_gape	Ab_Body_lat	Ab_pect	Ab_Pect_size	Ab_Caud_ped	Ab_Area.caud	Ab_Area_pec	Ab_rel_algivoro	Ab_rel_detritivoro	Ab_rel_invertivoro	Ab_rel_onivoro	Ab_rel_piscivoro	Riq_algivoro	Riq_detritivoro	Riq_invertivoro	Riq_onivoro	Riq_piscivoro	Riq_rel_detritivoro	Riq_rel_invertivoro	Riq_rel_onivoro	Riq_rel_piscivoro	Riq_total_especies	Riq_Characiformes	Riq_rel_Characiformes	Riq_Siluriformes	Riq_rel_Siluriformes	Riq_Siluri_Characi	Riq_rel_Siluri_Characi	Riq_Cyprinidontiformes	Riq_rel_Cyprinidontiformes	Riq_Gymnotiformes	Riq_rel_Gymnotiformes	Riq_Cicliformes	Riq_rel_Cicliformes	Riq_Poecilia_reticulata	Riq_rel_Poecilia_reticulata	 Riq_Callichthyidae	 Riq_rel_Callichthyidae	 Riq_Characidae	 Riq_rel_Characidae	 Riq_Curimatidae	 Riq_rel_Curimatidae	 Riq_Crenuchidae	 Riq_rel_Crenuchidae	 Riq_Erythrinidae	 Riq_rel_Erythrinidae	 Riq_rel_Gymnotidae	 Riq_Gymnotidae	 Riq_Heptapteridae	 Riq_rel_Heptapteridae	 Riq_Loricariidae	 Riq_rel_Loricariidae	 Riq_Poeciliidae	 Riq_rel_Poeciliidae	Ab_total_especies	Ab_rel_Characiformes	Ab_rel_Siluriformes	Ab_rel_Siluri_Characi	Ab_rel_Cyprinidontiformes	Ab_rel_Gymnotiformes	Ab_rel_Cicliformes	Ab_rel_Poecilia_reticulata	Ab_rel_Callichthyidae	Ab_rel_Characidae	Ab_rel_Curimatidae	Ab_rel_Crenuchidae	Ab_rel_Erythrinidae	Ab_rel_Gymnotidae	Ab_rel_Heptapteridae	Ab_rel_Loricariidae	Ab_rel_Poeciliidae
12	2	51.71	3.14	0.43	0.28	0.11	0.61	0.08	0.90	1.91	2.97	1.18	0.00	0.11	0.78	0.11	0.00	0.00	1.00	3.00	1.00	0.00	0.05	0.14	0.05	0.00	5.00	2.00	0.40	1.00	0.20	3.00	0.60	1.00	0.20	0.00	0.00	1.00	0.20	1.00	0.20	1.00	0.20	2.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	9.00	0.22	0.56	0.78	0.11	0.00	0.11	0.11	0.56	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.11
13	2	77.18	3.45	0.39	0.36	0.16	0.58	0.12	0.72	2.54	3.59	1.16	0.11	0.29	0.38	0.22	0.00	1.00	4.00	8.00	3.00	0.00	0.17	0.33	0.13	0.00	16.00	8.00	0.50	4.00	0.25	12.00	0.75	1.00	0.06	1.00	0.06	2.00	0.13	1.00	0.06	1.00	0.06	5.00	0.31	2.00	0.13	1.00	0.06	0.00	0.00	0.00	0.00	2.00	0.13	1.00	0.06	1.00	0.06	141.00	0.52	0.34	0.87	0.04	0.06	0.03	0.04	0.10	0.44	0.07	0.01	0.00	0.00	0.06	0.01	0.04
14	2	41.23	3.37	0.35	0.45	0.23	0.58	0.17	0.90	1.77	2.84	0.87	0.00	0.60	0.40	0.00	0.00	0.00	3.00	5.00	0.00	0.00	0.25	0.42	0.00	0.00	8.00	4.00	0.50	3.00	0.38	7.00	0.88	1.00	0.13	0.00	0.00	0.00	0.00	1.00	0.13	1.00	0.13	2.00	0.25	1.00	0.13	1.00	0.13	0.00	0.00	0.00	0.00	1.00	0.13	1.00	0.13	1.00	0.13	112.00	0.19	0.22	0.41	0.59	0.00	0.00	0.59	0.21	0.17	0.01	0.01	0.00	0.00	0.01	0.01	0.59
15	2	53.87	2.42	0.31	0.43	0.19	0.50	0.06	0.62	2.71	2.92	0.54	0.01	0.00	0.99	0.00	0.00	1.00	0.00	3.00	0.00	0.00	0.00	0.20	0.00	0.00	4.00	3.00	0.75	1.00	0.25	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.25	3.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	119.00	0.86	0.14	1.00	0.00	0.00	0.00	0.00	0.14	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16	2	77.06	3.53	0.43	0.39	0.14	0.61	0.06	0.89	2.76	3.74	1.35	0.00	0.04	0.50	0.18	0.00	0.00	2.00	5.00	2.00	0.00	0.10	0.24	0.10	0.00	16.00	10.00	0.63	5.00	0.31	15.00	0.94	0.00	0.00	0.00	0.00	1.00	0.06	0.00	0.00	1.00	0.06	6.00	0.38	1.00	0.06	1.00	0.06	1.00	0.06	0.00	0.00	2.00	0.13	2.00	0.13	0.00	0.00	239.00	0.72	0.28	1.00	0.00	0.00	0.00	0.00	0.00	0.57	0.01	0.09	0.00	0.00	0.01	0.01	0.00
17	2	71.43	2.79	0.34	0.42	0.21	0.54	0.07	0.66	2.60	3.65	0.84	0.00	0.09	0.60	0.27	0.04	0.00	3.00	4.00	2.00	1.00	0.16	0.21	0.11	0.05	10.00	5.00	0.50	4.00	0.40	9.00	0.90	1.00	0.10	0.00	0.00	0.00	0.00	1.00	0.10	2.00	0.20	3.00	0.30	1.00	0.10	0.00	0.00	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	82.00	0.82	0.12	0.94	0.06	0.00	0.00	0.06	0.10	0.76	0.02	0.00	0.04	0.00	0.01	0.01	0.06
18	2	63.80	2.85	0.31	0.47	0.25	0.52	0.12	0.67	2.51	3.40	0.74	0.00	0.21	0.64	0.13	0.01	0.00	1.00	4.00	2.00	1.00	0.08	0.33	0.17	0.08	9.00	5.00	0.56	1.00	0.11	6.00	0.67	1.00	0.11	2.00	0.22	0.00	0.00	1.00	0.11	0.00	0.00	4.00	0.44	0.00	0.00	0.00	0.00	1.00	0.11	2.00	0.22	0.00	0.00	1.00	0.11	1.00	0.11	145.00	0.77	0.01	0.77	0.21	0.01	0.00	0.21	0.00	0.75	0.00	0.00	0.01	0.01	0.00	0.01	0.21
19	2	34.82	3.60	0.50	0.16	0.02	0.65	0.01	0.97	1.58	1.56	0.78	0.00	0.00	1.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.27	0.00	0.00	3.00	1.00	0.33	1.00	0.33	2.00	0.67	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	1.00	0.33	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	49.00	0.02	0.94	0.96	0.00	0.04	0.00	0.00	0.94	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.00
20	2	59.38	2.72	0.31	0.43	0.19	0.52	0.13	0.55	2.79	3.12	0.78	0.52	0.02	0.41	0.04	0.01	1.00	1.00	4.00	1.00	1.00	0.05	0.19	0.05	0.05	8.00	5.00	0.63	0.00	0.00	5.00	0.63	0.00	0.00	1.00	0.13	2.00	0.25	0.00	0.00	0.00	0.00	3.00	0.38	1.00	0.13	0.00	0.00	1.00	0.13	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	185.00	0.92	0.00	0.92	0.00	0.02	0.05	0.00	0.00	0.90	0.02	0.00	0.01	0.02	0.00	0.00	0.00
21	2	83.32	3.37	0.41	0.38	0.18	0.61	0.12	0.90	2.31	4.44	1.63	0.00	0.25	0.29	0.30	0.00	0.00	2.00	6.00	4.00	0.00	0.10	0.30	0.20	0.00	13.00	4.00	0.31	5.00	0.38	9.00	0.69	1.00	0.08	0.00	0.00	3.00	0.23	1.00	0.08	2.00	0.15	3.00	0.23	0.00	0.00	1.00	0.08	0.00	0.00	0.00	0.00	1.00	0.08	2.00	0.15	1.00	0.08	129.00	0.38	0.31	0.69	0.20	0.00	0.11	0.20	0.08	0.34	0.00	0.04	0.00	0.00	0.02	0.02	0.20
22	2	51.32	3.22	0.39	0.38	0.17	0.59	0.11	0.85	2.07	3.07	0.95	0.00	0.39	0.60	0.00	0.01	0.00	3.00	3.00	0.00	1.00	0.21	0.21	0.00	0.07	7.00	4.00	0.57	2.00	0.29	6.00	0.86	1.00	0.14	0.00	0.00	0.00	0.00	1.00	0.14	1.00	0.14	2.00	0.29	1.00	0.14	0.00	0.00	1.00	0.14	0.00	0.00	0.00	0.00	1.00	0.14	1.00	0.14	143.00	0.36	0.35	0.71	0.29	0.00	0.00	0.29	0.29	0.31	0.04	0.00	0.01	0.00	0.00	0.01	0.29
23	2	88.96	4.65	0.35	0.30	0.22	0.51	0.17	0.63	1.54	2.22	0.76	0.00	0.10	0.83	0.07	0.00	0.00	2.00	3.00	2.00	0.00	0.09	0.13	0.09	0.00	11.00	3.00	0.27	3.00	0.27	6.00	0.55	1.00	0.09	1.00	0.09	2.00	0.18	1.00	0.09	1.00	0.09	2.00	0.18	0.00	0.00	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	271.00	0.35	0.17	0.52	0.06	0.35	0.07	0.06	0.13	0.34	0.00	0.00	0.00	0.35	0.00	0.00	0.06
24	2	61.36	3.24	0.37	0.42	0.24	0.56	0.14	0.67	2.61	2.80	0.76	0.08	0.06	0.78	0.05	0.03	1.00	3.00	9.00	2.00	1.00	0.13	0.38	0.08	0.04	16.00	7.00	0.44	5.00	0.31	12.00	0.75	1.00	0.06	1.00	0.06	2.00	0.13	1.00	0.06	2.00	0.13	5.00	0.31	1.00	0.06	0.00	0.00	1.00	0.06	1.00	0.06	2.00	0.13	1.00	0.06	1.00	0.06	345.00	0.76	0.13	0.89	0.03	0.04	0.05	0.03	0.10	0.73	0.01	0.00	0.03	0.04	0.01	0.00	0.03
25	2	56.25	3.38	0.43	0.40	0.20	0.60	0.12	0.76	2.67	2.62	0.75	0.00	0.05	0.95	0.00	0.00	0.00	1.00	7.00	0.00	0.00	0.06	0.41	0.00	0.00	8.00	3.00	0.38	4.00	0.50	7.00	0.88	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	1.00	0.13	3.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.25	1.00	0.13	0.00	0.00	65.00	0.69	0.29	0.98	0.00	0.00	0.02	0.00	0.17	0.69	0.00	0.00	0.00	0.00	0.08	0.02	0.00
26	2	49.51	3.25	0.41	0.48	0.27	0.60	0.17	0.68	2.92	2.39	0.66	0.16	0.00	0.79	0.04	0.01	2.00	0.00	5.00	1.00	1.00	0.00	0.21	0.04	0.04	9.00	7.00	0.78	0.00	0.00	7.00	0.78	0.00	0.00	0.00	0.00	2.00	0.22	0.00	0.00	0.00	0.00	4.00	0.44	0.00	0.00	1.00	0.11	1.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	338.00	0.95	0.00	0.95	0.00	0.00	0.05	0.00	0.00	0.91	0.00	0.01	0.01	0.00	0.00	0.00	0.00
27	2	73.92	3.50	0.39	0.42	0.20	0.57	0.11	0.74	2.69	3.24	0.91	0.00	0.05	0.60	0.29	0.01	0.00	2.00	7.00	3.00	1.00	0.10	0.33	0.14	0.05	15.00	7.00	0.47	5.00	0.33	12.00	0.80	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	0.00	0.00	4.00	0.27	0.00	0.00	1.00	0.07	1.00	0.07	1.00	0.07	3.00	0.20	2.00	0.13	1.00	0.07	111.00	0.80	0.16	0.96	0.01	0.02	0.01	0.01	0.00	0.70	0.00	0.06	0.01	0.02	0.11	0.02	0.01
28	2	65.78	2.47	0.37	0.37	0.20	0.56	0.13	0.65	2.35	3.84	1.39	0.00	0.00	0.79	0.21	0.00	0.00	0.00	4.00	2.00	0.00	0.00	0.40	0.20	0.00	6.00	2.00	0.33	1.00	0.17	3.00	0.50	0.00	0.00	0.00	0.00	3.00	0.50	0.00	0.00	1.00	0.17	2.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	69.00	0.62	0.14	0.77	0.00	0.00	0.23	0.00	0.14	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29	2	45.27	3.49	0.50	0.18	0.02	0.65	0.02	0.96	1.73	2.24	0.91	0.00	0.02	0.98	0.00	0.00	0.00	1.00	3.00	0.00	0.00	0.09	0.27	0.00	0.00	4.00	1.00	0.25	3.00	0.75	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.25	1.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.25	1.00	0.25	0.00	0.00	42.00	0.05	0.95	1.00	0.00	0.00	0.00	0.00	0.86	0.05	0.00	0.00	0.00	0.00	0.07	0.02	0.00
30	2	69.66	4.95	0.39	0.24	0.18	0.57	0.15	0.70	1.06	1.41	0.69	0.00	0.00	0.70	0.26	0.04	0.00	0.00	3.00	3.00	1.00	0.00	0.16	0.16	0.05	7.00	1.00	0.14	2.00	0.29	3.00	0.43	1.00	0.14	1.00	0.14	1.00	0.14	0.00	0.00	2.00	0.29	1.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	23.00	0.04	0.39	0.43	0.17	0.30	0.04	0.00	0.39	0.04	0.00	0.00	0.00	0.30	0.00	0.00	0.00
31	2	47.23	2.85	0.34	0.50	0.24	0.56	0.12	0.63	3.05	2.66	0.62	0.29	0.03	0.63	0.04	0.01	1.00	2.00	6.00	2.00	1.00	0.12	0.35	0.12	0.06	15.00	8.00	0.53	3.00	0.20	11.00	0.73	2.00	0.13	0.00	0.00	2.00	0.13	1.00	0.07	1.00	0.07	6.00	0.40	1.00	0.07	0.00	0.00	1.00	0.07	0.00	0.00	1.00	0.07	1.00	0.07	1.00	0.07	344.00	0.90	0.02	0.92	0.03	0.00	0.05	0.02	0.01	0.88	0.01	0.00	0.01	0.00	0.00	0.00	0.02
32	2	35.63	3.51	0.36	0.47	0.27	0.60	0.21	0.92	1.80	2.55	0.80	0.00	0.63	0.35	0.02	0.00	0.00	1.00	3.00	1.00	0.00	0.08	0.25	0.08	0.00	11.00	5.00	0.45	2.00	0.18	7.00	0.64	1.00	0.09	1.00	0.09	2.00	0.18	1.00	0.09	2.00	0.18	4.00	0.36	0.00	0.00	0.00	0.00	1.00	0.09	1.00	0.09	0.00	0.00	0.00	0.00	1.00	0.09	1313.00	0.19	0.16	0.35	0.62	0.00	0.03	0.62	0.16	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.62
33	2	40.28	3.36	0.31	0.52	0.30	0.57	0.22	0.89	1.76	3.03	0.90	0.00	0.75	0.22	0.03	0.00	0.00	1.00	4.00	2.00	0.00	0.06	0.24	0.12	0.00	7.00	3.00	0.43	1.00	0.14	4.00	0.57	2.00	0.29	0.00	0.00	1.00	0.14	1.00	0.14	1.00	0.14	3.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.14	129.00	0.19	0.03	0.22	0.76	0.00	0.02	0.75	0.03	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.75
35	2	58.67	3.31	0.38	0.35	0.18	0.56	0.10	0.70	2.23	2.54	0.76	0.03	0.02	0.89	0.05	0.01	1.00	1.00	5.00	2.00	1.00	0.05	0.26	0.11	0.05	10.00	6.00	0.60	1.00	0.10	7.00	0.70	1.00	0.10	1.00	0.10	1.00	0.10	0.00	0.00	1.00	0.10	4.00	0.40	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	164.00	0.60	0.27	0.87	0.01	0.08	0.04	0.00	0.27	0.58	0.02	0.00	0.01	0.08	0.00	0.00	0.00
36	3	78.03	3.81	0.33	0.37	0.21	0.51	0.12	0.62	2.06	2.71	0.74	0.16	0.00	0.76	0.03	0.05	2.00	0.00	5.00	1.00	1.00	0.00	0.28	0.06	0.06	9.00	5.00	0.56	2.00	0.22	7.00	0.78	0.00	0.00	1.00	0.11	1.00	0.11	0.00	0.00	1.00	0.11	3.00	0.33	0.00	0.00	0.00	0.00	1.00	0.11	1.00	0.11	1.00	0.11	0.00	0.00	0.00	0.00	38.00	0.66	0.13	0.79	0.00	0.18	0.03	0.00	0.11	0.53	0.00	0.00	0.05	0.18	0.03	0.00	0.00
37	3	47.74	3.71	0.37	0.47	0.22	0.59	0.21	0.89	1.70	2.71	1.02	0.22	0.40	0.34	0.03	0.01	1.00	1.00	5.00	1.00	1.00	0.04	0.22	0.04	0.04	9.00	4.00	0.44	1.00	0.11	5.00	0.56	1.00	0.11	1.00	0.11	2.00	0.22	1.00	0.11	1.00	0.11	2.00	0.22	0.00	0.00	0.00	0.00	1.00	0.11	1.00	0.11	0.00	0.00	0.00	0.00	1.00	0.11	129.00	0.26	0.19	0.46	0.40	0.02	0.12	0.40	0.19	0.04	0.00	0.00	0.01	0.02	0.00	0.00	0.40
38	3	74.85	3.13	0.40	0.36	0.18	0.59	0.12	0.75	2.35	3.78	1.46	0.02	0.09	0.41	0.44	0.00	1.00	2.00	6.00	4.00	0.00	0.13	0.40	0.27	0.00	14.00	6.00	0.43	4.00	0.29	10.00	0.71	1.00	0.07	1.00	0.07	2.00	0.14	1.00	0.07	1.00	0.07	5.00	0.36	1.00	0.07	0.00	0.00	0.00	0.00	1.00	0.07	2.00	0.14	1.00	0.07	1.00	0.07	61.00	0.52	0.23	0.75	0.07	0.02	0.16	0.07	0.15	0.51	0.02	0.00	0.00	0.02	0.03	0.02	0.07
39	3	85.77	2.73	0.31	0.47	0.25	0.51	0.05	0.61	2.96	4.07	0.70	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.33	0.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40	3	34.17	3.60	0.30	0.55	0.33	0.58	0.26	0.97	1.49	2.95	0.90	0.00	0.99	0.00	0.01	0.00	0.00	1.00	0.00	1.00	0.00	0.08	0.00	0.08	0.00	3.00	0.00	0.00	2.00	0.67	2.00	0.67	1.00	0.33	0.00	0.00	0.00	0.00	1.00	0.33	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	1.00	0.33	437.00	0.00	0.01	0.01	0.99	0.00	0.00	0.99	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99
41	3	58.58	2.88	0.34	0.44	0.21	0.55	0.09	0.65	2.88	3.09	0.69	0.10	0.08	0.56	0.26	0.00	1.00	2.00	5.00	3.00	0.00	0.13	0.31	0.19	0.00	11.00	6.00	0.55	4.00	0.36	10.00	0.91	1.00	0.09	0.00	0.00	0.00	0.00	1.00	0.09	2.00	0.18	6.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	137.00	0.86	0.10	0.96	0.04	0.00	0.00	0.04	0.04	0.86	0.00	0.00	0.00	0.00	0.02	0.01	0.04
